id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
974309659015226614,Radhuslägenhet med Takterrass,18128997,Christoffer,,Enskede-Årsta-Vantörs,59.28750942041349,18.09239700436592,Entire home/apt,1804.0,12,0,,,1,263,0,
974480018742616608,A Taste of Paris Chic in STO,45589939,Enrique,,Kungsholmens,59.3369416,18.0255415,Entire home/apt,2000.0,30,2,2025-08-26,0.09,2,270,1,
974548811545865927,Modern top floor apartment in Kungsholmen,535802771,Lukas,,Kungsholmens,59.3297567,18.0439131,Entire home/apt,2083.0,4,101,2025-09-15,4.19,51,334,53,
974550048996042148,Bright top-floor apartment in a great location,535802771,Lukas,,Kungsholmens,59.3297693,18.0439828,Entire home/apt,1730.0,4,96,2025-09-12,3.88,51,338,44,
975243323101831636,Convenient studio in residential area,135323554,Hans Olof,,Kungsholmens,59.32497,17.98815,Entire home/apt,509.0,1,61,2025-09-20,2.46,30,332,33,
978035633783708533,Modern Studio,245999299,Maria,,Södermalms,59.32327941888848,18.069511724494365,Entire home/apt,1627.0,2,157,2025-09-14,6.36,3,333,70,
978211345189715986,"Lägenhet Nytorget, Södermalm.",520796205,Ellen,,Södermalms,59.31552156658103,18.084427551570464,Entire home/apt,4000.0,2,1,2023-10-20,0.04,1,88,0,
978372307393855658,Fräscht och modern radhus.,536666382,Diana,,Skärholmens,59.29227004337152,17.945548010567133,Entire home/apt,2043.0,5,2,2024-03-04,0.09,1,83,0,
978893663559698035,Waterview 1BR with private balcony,135323554,Hans Olof,,Kungsholmens,59.3299,17.9994783,Entire home/apt,874.0,1,120,2025-09-23,4.85,30,347,66,
979084698555189700,Stylish Urban Home in Stockholm,220860397,Sofia,,Älvsjö,59.28026618690606,18.00185281222086,Entire home/apt,990.0,2,50,2025-09-01,2.05,18,115,26,
979492455321368099,Apartment in central Stockholm,48868783,Erik,,Norrmalms,59.33883582029451,18.062487058913657,Entire home/apt,1990.0,7,0,,,1,357,0,
979494998346069076,Apartment Double,186220121,Mornington Longstay,,Bromma,59.34580838545907,17.968038169100545,Entire home/apt,750.0,14,0,,,15,365,0,
979500018197122179,Apartment Double,186220121,Mornington Longstay,,Bromma,59.34793,17.96559,Entire home/apt,524.0,28,1,2025-05-01,0.2,15,354,1,
980142726598880857,Newly renovated top floor apartment on Kungsholmen,535802771,Lukas,,Kungsholmens,59.33029990000001,18.0361883,Entire home/apt,2099.0,4,116,2025-09-19,4.72,51,330,60,
980142980097566159,Charming apartment in Vasastan,501170996,Moa,,Norrmalms,59.34509369999999,18.0346938,Entire home/apt,1367.0,6,72,2025-09-26,3.07,6,333,41,
980223069837548459,Mysig lägenhet nära city,112034124,Ella,,Hägersten-Liljeholmens,59.29030045554975,17.978170439600945,Entire home/apt,446.0,1,0,,,1,53,0,
980290846589023103,Farsta sjöutsikt!,447907807,Per Anton Tomas,,Farsta,59.24364,18.11485,Entire home/apt,1440.0,1,0,,,1,269,0,
980305433535618654,Lower-ground Studio in Creative District,60382478,Elias,,Södermalms,59.3170724,18.0660829,Entire home/apt,530.0,1,81,2025-09-21,3.32,36,359,36,
981647690943218156,"Naturnära, 14 min till Centrum via Tunellbanan.",537367816,Cristina,,Skarpnäcks,59.28968440000001,18.1204193,Private room,360.0,2,45,2025-08-31,1.89,1,133,24,
984480211845032548,Mysig fristad i den bästa delen av Stockholm,70666382,Elisabet,,Södermalms,59.31685816893141,18.0391293354905,Entire home/apt,1102.0,2,10,2025-08-31,0.53,1,10,7,
984584358099094100,Standardrum - 2 enkelsängar – pentry,445475765,Bromma,,Bromma,59.35758016028728,17.920190322999588,Entire home/apt,1231.0,1,3,2025-08-24,0.18,6,365,1,
